id	chromosom	version	taxon	definition	organism	kingdom	phylum	class	order	family	genus	species
NC_002927	NC_002927	NC_002927.3	257310	Bordetella bronchiseptica strain RB50, complete genome.	Bordetella bronchiseptica RB50	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	
NC_002936	NC_002936	NC_002936.3	243164	Dehalococcoides ethenogenes 195, complete genome.	Dehalococcoides mccartyi 195	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	
NC_002937	NC_002937	NC_002937.3	882	Desulfovibrio vulgaris str. Hildenborough chromosome, complete	Desulfovibrio vulgaris str. Hildenborough	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	
NC_002939	NC_002939	NC_002939.5	243231	Geobacter sulfurreducens PCA chromosome, complete genome.	Geobacter sulfurreducens PCA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens	
NC_002944	NC_002944	NC_002944.2	262316	Mycobacterium avium subsp. paratuberculosis str. k10, complete	Mycobacterium avium subsp. paratuberculosi	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	
NC_002971	NC_002971	NC_002971.3	227377	Coxiella burnetii RSA 493 chromosome, complete genome.	Coxiella burnetii RSA 493	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	
NC_002973	NC_002973	NC_002973.6	265669	Listeria monocytogenes str. 4b F2365, complete genome.	Listeria monocytogenes serotype 4b str. F2365	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	
NC_003030	NC_003030	NC_003030.1	272562	Clostridium acetobutylicum ATCC 824 chromosome, complete genome.	Clostridium acetobutylicum ATCC 824	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	
NC_003062	NC_003062,NC_003063	NC_003062.2,NC_003063.2	176299	Agrobacterium fabrum str. C58 chromosome circular, complete	Agrobacterium fabrum str. C58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	
NC_003155	NC_003155	NC_003155.4	227882	Streptomyces avermitilis MA-4680 = NBRC 14893, complete genome.	Streptomyces avermitilis MA-4680	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	
NC_003197	NC_003197	NC_003197.1	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_003212	NC_003212	NC_003212.1	272626	Listeria innocua Clip11262 complete genome.	Listeria innocua Clip11262	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	
NC_003272	NC_003272	NC_003272.1	103690	Nostoc sp. PCC 7120 DNA, complete genome.	Nostoc sp. PCC 7120	Bacteria	Cyanobacteria	null	Nostocales	Nostocaceae	Nostoc	null	
NC_003295	NC_003295	NC_003295.1	267608	Ralstonia solanacearum GMI1000 chromosome complete sequence.	Ralstonia solanacearum GMI1000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	
NC_003361	NC_003361	NC_003361.3	227941	Chlamydophila caviae GPIC, complete genome.	Chlamydophila caviae GPIC	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	Chlamydophila caviae	
NC_003366	NC_003366	NC_003366.1	195102	Clostridium perfringens str. 13 DNA, complete genome.	Clostridium perfringens str. 13	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	
NC_003552	NC_003552	NC_003552.1	188937	Methanosarcina acetivorans str. C2A, complete genome.	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans	
NC_003901	NC_003901	NC_003901.1	192952	Methanosarcina mazei strain Goe1, complete genome.	Methanosarcina mazei Go1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	
NC_003902	NC_003902	NC_003902.1	190485	Xanthomonas campestris pv. campestris str. ATCC 33913 chromosome,	Xanthomonas campestris pv. campestris str. ATC	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	
NC_003909	NC_003909	NC_003909.8	222523	Bacillus cereus ATCC 10987, complete genome.	Bacillus cereus ATCC 10987	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_003997	NC_003997	NC_003997.3	198094	Bacillus anthracis str. Ames chromosome, complete genome.	Bacillus anthracis str. Ames	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	
NC_004129	NC_004129	NC_004129.6	220664	Pseudomonas protegens Pf-5, complete genome.	Pseudomonas protegens Pf-5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	
NC_004193	NC_004193	NC_004193.1	221109	Oceanobacillus iheyensis HTE831 DNA, complete genome.	Oceanobacillus iheyensis HTE831	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis	
NC_004342	NC_004342,NC_004343	NC_004342.2,NC_004343.2	189518	Leptospira interrogans serovar Lai str. 56601 chromosome I,	Leptospira interrogans serovar Lai str. 56601	Bacteria	Spirochaetes	Spirochaetia	null	Leptospiraceae	Leptospira	Leptospira interrogans	
NC_004347	NC_004347	NC_004347.2	211586	Shewanella oneidensis MR-1 chromosome, complete genome.	Shewanella oneidensis MR-1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella oneidensis	
NC_004369	NC_004369	NC_004369.1	196164	Corynebacterium efficiens YS-314 DNA, complete genome.	Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium efficiens	
NC_004463	NC_004463	NC_004463.1	224911	Bradyrhizobium japonicum USDA 110 chromosome, complete genome.	Bradyrhizobium diazoefficiens USDA 110	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens	
NC_004547	NC_004547	NC_004547.2	218491	Erwinia carotovora subsp. atroseptica SCRI1043, complete genome.	Pectobacterium atrosepticum SCRI1043	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium	Pectobacterium atrosepticum	
NC_004551	NC_004551	NC_004551.1	218496	Tropheryma whipplei TW08/27, complete genome.	Tropheryma whipplei TW08/27	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	null	Tropheryma	Tropheryma whipplei	
NC_004556	NC_004556	NC_004556.1	183190	Xylella fastidiosa Temecula1, complete genome.	Xylella fastidiosa Temecula1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	
NC_004557	NC_004557	NC_004557.1	212717	Clostridium tetani E88, complete genome.	Clostridium tetani E88	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tetani	
NC_004572	NC_004572	NC_004572.3	203267	Tropheryma whipplei str. Twist, complete genome.	Tropheryma whipplei str. Twist	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	null	Tropheryma	Tropheryma whipplei	
NC_004631	NC_004631	NC_004631.1	209261	Salmonella enterica subsp. enterica serovar Typhi Ty2, complete	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_004663	NC_004663	NC_004663.1	226186	Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome.	Bacteroides thetaiotaomicron VPI-5482	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	
NC_004722	NC_004722	NC_004722.1	226900	Bacillus cereus ATCC 14579 chromosome, complete genome.	Bacillus cereus ATCC 14579	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_004757	NC_004757	NC_004757.1	228410	Nitrosomonas europaea ATCC 19718, complete genome.	Nitrosomonas europaea ATCC 19718	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea	
NC_005085	NC_005085	NC_005085.1	243365	Chromobacterium violaceum ATCC 12472, complete genome.	Chromobacterium violaceum ATCC 12472	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	
NC_005125	NC_005125	NC_005125.1	251221	Gloeobacter violaceus PCC 7421 chromosome, complete genome.	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	null	Gloeobacter	Gloeobacter violaceus	
NC_005296	NC_005296	NC_005296.1	258594	Rhodopseudomonas palustris CGA009 complete genome.	Rhodopseudomonas palustris CGA009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	
NC_005363	NC_005363	NC_005363.1	264462	Bdellovibrio bacteriovorus complete genome, strain HD100.	Bdellovibrio bacteriovorus HD100	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus	
NC_005773	NC_005773	NC_005773.3	264730	Pseudomonas syringae pv. phaseolicola 1448A, complete genome.	Pseudomonas savastanoi pv. phaseolicola 1448A	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas savastanoi	
NC_005823	NC_005823,NC_005824	NC_005823.1,NC_005824.1	267671	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,	Leptospira interrogans serovar Copenhageni str	Bacteria	Spirochaetes	Spirochaetia	null	Leptospiraceae	Leptospira	Leptospira interrogans	
NC_005861	NC_005861	NC_005861.1	264201	Parachlamydia-related symbiont UWE25, complete genome.	Candidatus Protochlamydia amoebophila UWE25	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	Candidatus Protochlamydia amoebophila	
NC_005877	NC_005877	NC_005877.1	263820	Picrophilus torridus DSM 9790, complete genome.	Picrophilus torridus DSM 9790	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	
NC_005945	NC_005945	NC_005945.1	260799	Bacillus anthracis str. Sterne chromosome, complete genome.	Bacillus anthracis str. Sterne	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	
NC_005966	NC_005966	NC_005966.1	62977	Acinetobacter sp. ADP1 complete genome.	Acinetobacter sp. ADP1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	null	
NC_005967	NC_005967,NC_005968,NC_006026,NC_006027,NC_006028,NC_006029,NC_006030,NC_006031,NC_006032,NC_006033,NC_006034,NC_006035,NC_006036	NC_005967.2,NC_005968.1,NC_006026.1,NC_006027.1,NC_006028.2,NC_006029.1,NC_006030.1,NC_006031.1,NC_006032.2,NC_006033.2,NC_006034.2,NC_006035.2,NC_006036.2	284593	Candida glabrata CBS 138 chromosome A, complete genome.	Candida glabrata CBS 138	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Candida glabrata	
NC_006037	NC_006037,NC_006038,NC_006039,NC_006040,NC_006041,NC_006042	NC_006037.1,NC_006038.1,NC_006039.1,NC_006040.1,NC_006041.1,NC_006042.1	284590	Kluyveromyces lactis NRRL Y-1140 chromosome A, complete genome.	Kluyveromyces lactis NRRL Y-1140	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis	
NC_006043	NC_006043,NC_006044,NC_006045,NC_006046,NC_006047,NC_006048,NC_006049	NC_006043.2,NC_006044.2,NC_006045.2,NC_006046.2,NC_006047.2,NC_006048.2,NC_006049.2	284592	Debaryomyces hansenii CBS767 chromosome A complete sequence.	Debaryomyces hansenii CBS767	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii	
NC_006155	NC_006155	NC_006155.1	273123	Yersinia pseudotuberculosis IP32953 genome, complete sequence.	Yersinia pseudotuberculosis IP 32953	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	
NC_006177	NC_006177	NC_006177.1	292459	Symbiobacterium thermophilum IAM 14863 DNA, complete genome.	Symbiobacterium thermophilum IAM 14863	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum	
NC_006274	NC_006274	NC_006274.1	288681	Bacillus cereus E33L, complete genome.	Bacillus cereus E33L	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_006322	NC_006322	NC_006322.1	279010	Bacillus licheniformis DSM 13 = ATCC 14580, complete genome.	Bacillus licheniformis DSM 13	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	
NC_006350	NC_006350,NC_006351	NC_006350.1,NC_006351.1	272560	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	Burkholderia pseudomallei K96243	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	
NC_006361	NC_006361	NC_006361.1	247156	Nocardia farcinica IFM 10152 DNA, complete genome.	Nocardia farcinica IFM 10152	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica	
NC_006368	NC_006368	NC_006368.1	297246	Legionella pneumophila str. Paris complete genome.	Legionella pneumophila str. Paris	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	
NC_006369	NC_006369	NC_006369.1	297245	Legionella pneumophila str. Lens complete genome.	Legionella pneumophila str. Lens	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	
NC_006511	NC_006511	NC_006511.1	295319	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_006513	NC_006513	NC_006513.1	76114	Azoarcus aromaticum EbN1 complete genome.	Aromatoleum aromaticum EbN1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	
NC_006582	NC_006582	NC_006582.1	66692	Bacillus clausii KSM-K16 DNA, complete genome.	Bacillus clausii KSM-K16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii	
NC_006624	NC_006624	NC_006624.1	69014	Thermococcus kodakarensis KOD1 DNA, complete genome.	Thermococcus kodakarensis KOD1	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis	
NC_006670	NC_006670,NC_006684,NC_006685,NC_006686,NC_006687,NC_006691,NC_006692,NC_006693,NC_006694,NC_006679,NC_006680,NC_006681,NC_006682,NC_006683	NC_006670.1,NC_006684.1,NC_006685.1,NC_006686.1,NC_006687.1,NC_006691.1,NC_006692.1,NC_006693.1,NC_006694.1,NC_006679.1,NC_006680.1,NC_006681.1,NC_006682.1,NC_006683.1	214684	Cryptococcus neoformans var. neoformans JEC21 chromosome 1,	Cryptococcus neoformans var. neoformans JEC21	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Filobasidiella	Cryptococcus neoformans	
NC_006831	NC_006831	NC_006831.1	302409	Ehrlichia ruminantium str. Gardel, complete genome.	Ehrlichia ruminantium str. Gardel	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	
NC_006834	NC_006834	NC_006834.1	291331	Xanthomonas oryzae pv. oryzae KACC 10331, complete genome.	Xanthomonas oryzae pv. oryzae KACC 10331	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae	
NC_006905	NC_006905	NC_006905.1	321314	Salmonella enterica subsp. enterica serovar Choleraesuis str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_006932	NC_006932,NC_006933	NC_006932.1,NC_006933.1	262698	Brucella abortus biovar 1 str. 9-941 chromosome I, complete	Brucella abortus bv. 1 str. 9-941	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	
NC_006958	NC_006958	NC_006958.1	196627	Corynebacterium glutamicum ATCC 13032, IS fingerprint type 4-5,	Corynebacterium glutamicum ATCC 13032	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	
NC_007086	NC_007086	NC_007086.1	314565	Xanthomonas campestris pv. campestris str. 8004, complete genome.	Xanthomonas campestris pv. campestris str	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	
NC_007164	NC_007164	NC_007164.1	306537	Corynebacterium jeikeium K411 complete genome.	Corynebacterium jeikeium K411	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	
NC_007168	NC_007168	NC_007168.1	279808	Staphylococcus haemolyticus JCSC1435 DNA, complete genome.	Staphylococcus haemolyticus JCSC1435	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	
NC_007204	NC_007204	NC_007204.1	259536	Psychrobacter arcticus 273-4, complete genome.	Psychrobacter arcticus 273-4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter arcticus	
NC_007298	NC_007298	NC_007298.1	159087	Dechloromonas aromatica RCB, complete genome.	Dechloromonas aromatica RCB	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	Dechloromonas aromatica	
NC_007333	NC_007333	NC_007333.1	269800	Thermobifida fusca YX, complete genome.	Thermobifida fusca YX	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	Thermobifida fusca	
NC_007355	NC_007355	NC_007355.1	269797	Methanosarcina barkeri str. Fusaro, complete genome.	Methanosarcina barkeri str. Fusaro	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	
NC_007356	NC_007356	NC_007356.1	255470	Dehalococcoides sp. CBDB1 complete genome.	Dehalococcoides mccartyi CBDB1	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	
NC_007404	NC_007404	NC_007404.1	292415	Thiobacillus denitrificans ATCC 25259, complete genome.	Thiobacillus denitrificans ATCC 25259	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	Thiobacillus denitrificans	
NC_007406	NC_007406	NC_007406.1	323098	Nitrobacter winogradskyi Nb-255, complete genome.	Nitrobacter winogradskyi Nb-255	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	Nitrobacter winogradskyi	
NC_007434	NC_007434,NC_007435	NC_007434.1,NC_007435.1	320372	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	Burkholderia pseudomallei 1710b	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	
NC_007492	NC_007492	NC_007492.2	205922	Pseudomonas fluorescens Pf0-1, complete genome.	Pseudomonas fluorescens Pf0-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	
NC_007493	NC_007493,NC_007494	NC_007493.2,NC_007494.2	272943	Rhodobacter sphaeroides 2.4.1 chromosome 1, complete sequence.	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	
NC_007498	NC_007498	NC_007498.2	338963	Pelobacter carbinolicus DSM 2380, complete genome.	Pelobacter carbinolicus DSM 2380	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter	Pelobacter carbinolicus	
NC_007508	NC_007508	NC_007508.1	316273	Xanthomonas campestris pv. vesicatoria complete genome.	Xanthomonas campestris pv. vesicatoria str	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas euvesicatoria	
NC_007510	NC_007510,NC_007511,NC_007509	NC_007510.1,NC_007511.1,NC_007509.1	482957	Burkholderia sp. 383 chromosome 1, complete sequence.	Burkholderia lata	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	null	
NC_007512	NC_007512	NC_007512.1	319225	Chlorobium luteolum DSM 273, complete genome.	Chlorobium luteolum DSM 273	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Pelodictyon	Pelodictyon luteolum	
NC_007514	NC_007514	NC_007514.1	340177	Chlorobium chlorochromatii CaD3, complete genome.	Chlorobium chlorochromatii CaD3	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium chlorochromatii	
NC_007517	NC_007517	NC_007517.1	269799	Geobacter metallireducens GS-15, complete genome.	Geobacter metallireducens GS-15	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter metallireducens	
NC_007519	NC_007519	NC_007519.1	207559	Desulfovibrio alaskensis G20, complete genome.	Desulfovibrio alaskensis G20	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio alaskensis	
NC_007530	NC_007530	NC_007530.2	261594	Bacillus anthracis str. 'Ames Ancestor', complete genome.	Bacillus anthracis str. 'Ames Ancestor'	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	
NC_007613	NC_007613	NC_007613.1	300268	Shigella boydii Sb227, complete genome.	Shigella boydii Sb227	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	Shigella boydii	
NC_007614	NC_007614	NC_007614.1	323848	Nitrosospira multiformis ATCC 25196, complete genome.	Nitrosospira multiformis ATCC 25196	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira multiformis	
NC_007618	NC_007618,NC_007624	NC_007618.1,NC_007624.1	359391	Brucella melitensis biovar Abortus 2308 chromosome I, complete	Brucella abortus 2308	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	
NC_007644	NC_007644	NC_007644.1	264732	Moorella thermoacetica ATCC 39073 chromosome, complete genome.	Moorella thermoacetica ATCC 39073	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica	
NC_007651	NC_007651,NC_007650	NC_007651.1,NC_007650.1	271848	Burkholderia thailandensis E264 chromosome I, complete sequence.	Burkholderia thailandensis E264	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis	
NC_007681	NC_007681	NC_007681.1	339860	Methanosphaera stadtmanae DSM 3091, complete genome.	Methanosphaera stadtmanae DSM 3091	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	
