progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
from a deep-sea hydrothermal v	0	Adina	Aquatic-Hot spring-Marine-Sediment	Aquatic	Marine	Archaea	Crenarchaeota	Gp0000202	"Staphylothermus marinus F1, DSM 3639"	Staphylothermus marinus F1	10174	Gc00511	Staphylothermus marinus F1	17449	PRJNA17449	Smar			Hyperthermophilic archaeon		"3Kb, 8-10Kb, 40Kb"	23766	13.3x	"pUC18, pMCL200, pCC1FOS"	36	1	0	Yes	Natural			3466	16431	4/8/14	11/27/07												
		Adina	Aquatic-Hydrothermal vent-Marine-Marine geothermal field	Aquatic	Marine	Archaea	Crenarchaeota	Gp0000705	Pyrobaculum aerophilum IM2		10611	Gc00075	Pyrobaculum aerophilum str. IM2	172	PRJNA172	PAE			Nitrate-reducing hyperthermophilic archeon		Fosmid and pUC18 libraries	26000	4x	pUC18	51	1	0	Yes	Natural					5/20/14	11/27/07												
marine	0	Adina	Aquatic-Marine	Aquatic	Marine	Archaea	Crenarchaeota	Gp0000213	Hyperthermus butylicus DSM 5456		10185	Gc00500	Hyperthermus butylicus DSM 5456	208	PRJNA208	Hbut			Extreme hyperthermophilic archeon		2.5 kb	9313	4.4x	pUC18	54	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Aquatic-Ponds	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000163	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348T	10137	Gc00548	Metallosphaera sedula DSM 5348	17447	PRJNA17447	Msed			Acid-loving thermophile which can oxidize coal and pyrite		"3 kb, 8 kb, 40 kb"				46	1	0	Yes	Natural			15931	16751	4/8/14	11/27/07												
		Adina	Deep sea-Hydrothermal sediment-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Crenarchaeota	Gp0003649	"Pyrolobus fumarii 1A, DSM 11204"	Pyrolobus fumarii DSM 11204	13515	Gc01880	Pyrolobus fumarii 1A	48579	PRJNA48579	Pyrfu			Pyrolobus fumarii 1A whole genome sequencing project.						55	1	0	Yes	Natural	867		97601	97933	5/20/14	1/19/08												
freshwater	0	Adina	Fresh water	none	none	Archaea	Crenarchaeota	Gp0009250	Acidianus hospitalis W1		18437	Gc01762	Acidianus hospitalis W1	60875	PRJNA60875	AHOS			Acidianus hospitalis W1 genome sequencing project						34	1	0	Yes	Natural					4/8/14	12/9/10												
		Adina	Fresh water	Aquatic	Marine	Archaea	Crenarchaeota	Gp0002339	Sulfolobus islandicus L.D.8.5	Sulfolobus islandicus L.D.8.5	12230	Gc01195	Sulfolobus islandicus L.D.8.5	18803	PRJNA18803	LD85			Hyperthermophilic acidophilic sulfur-metabolizing archeon		"3-, 8-, and 40-kbp libraries"				35	1	1	Yes	Natural			3733	16896	4/8/14	11/27/07												
hotsprings	1	Adina	Fresh water	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0002336	Sulfolobus islandicus M.16.4	Sulfolobus islandicus M.16.4	12227	Gc01006	Sulfolobus islandicus M.16.4	18807	PRJNA18807	M164			Isolated from a hot spring on the Kamchatka Penninsula		"3-, 8-, and 40-kbp libraries"				35	1	0	Yes	Natural			3733	16436	4/8/14	11/27/07												
	1	Adina	Fresh water	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0010876	Thermoproteus uzoniensis 768-20		19460	Gc01703	Thermoproteus uzoniensis 768-20	64455	PRJNA64455	TUZN			Thermoproteus uzoniensis 768-20 genome sequencing project						60	1	0	Yes	Natural					4/8/14	4/1/11												
freshwater	0	Adina	Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003977	Acidilobus saccharovorans 345-15		13795	Gc01364	Acidilobus saccharovorans 345-15	39927	PRJNA39927	ASAC			Acidilobus saccharovorans genome sequencing						57	1	0	Yes	Natural					4/8/14	7/10/08												
		Adina	Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000723	"Sulfolobus tokodaii 7, JCM 10545"		10625	Gc00061	Sulfolobus tokodaii str. 7	246	PRJNA246	STK			Hyperthermophilic acidophilic sulfur metabolizing archeon		0.8-1.2 kb and 2.0-2.5 kb inserts	61000		pUC18	33	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Fresh water-Hot spring-Sediment	Aquatic	Freshwater	Archaea	Crenarchaeota	Gp0003722	Desulfurococcus kamchatkensis 1221n		13638	Gc00873	Desulfurococcus kamchatkensis 1221n	28141	PRJNA28141	DKAM			Hyperthermophilic archaeon		1.2-3Kb			pUC19	45	1	0	Yes	Natural					4/8/14	5/17/08												
	1	Adina	Fresh water-Hydrothermal vent-Solfataric field-Sulfur spring	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0002344	Sulfolobus islandicus HVE10/4		12233	Gc01623	Sulfolobus islandicus HVE	60481	PRJNA60481	SIH			"Sulfolobus islandicus is a thermo-acidophilic archeae commonly identified in hot, acidic sulfur springs. This organism can grow both chemoautotrophically, using sulfur or hydrogen sulfide, and heterotrophically. Like other Sulfolobus spp., S. islandicus can play host to a number of plasmids and viruses which may be useful in developing tools for genetic analysis. In addition, Sulfolobus islandicus isolates from different areas in Russia, Iceland, and the United States have been shown to be genetically distinct from each other making this organism useful for comparative analysis."						35	1	0	Yes	Natural					7/22/14	11/27/07												
	1	Adina	Fresh water-Hydrothermal vent-Solfataric field-Sulfur spring	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0008487	Sulfolobus islandicus REY15A		18556	Gc01624	Sulfolobus islandicus REY15A	60485	PRJNA60485	SIRE			"Sulfolobus islandicus is a thermo-acidophilic archeae commonly identified in hot, acidic sulfur springs. This organism can grow both chemoautotrophically, using sulfur or hydrogen sulfide, and heterotrophically. Like other Sulfolobus spp., S. islandicus can play host to a number of plasmids and viruses which may be useful in developing tools for genetic analysis. In addition, Sulfolobus islandicus isolates from different areas in Russia, Iceland, and the United States have been shown to be genetically distinct from each other making this organism useful for comparative analysis."						35	1		Yes	Natural					7/22/14	1/12/11												
mud is soil	1	Adina	Fresh water-Mud	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0002328	Thermoproteus tenax Kra1		12220	Gc01999	Thermoproteus tenax Kra 1	49419	PRJEA49419	TTX			Thermoproteus tenax Kra 1 Genome sequencing						55	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0002338	Sulfolobus islandicus L.S.2.15	Sulfolobus islandicus L.S.2.15	12229	Gc00989	Sulfolobus islandicus L.S.2.15	18987	PRJNA18987	LS215			A thermo-acidophilic archaeon		"3-, 8-, and 40-kbp libraries"				35	1	0	Yes	Natural			3733	16438	4/8/14	11/27/07												
hotsprings	1	Adina	Hot spring	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0002335	Sulfolobus islandicus M.16.27	Sulfolobus islandicus M.16.27	12226	Gc00996	Sulfolobus islandicus M.16.27	18873	PRJNA18873	M1627			Isolated from a hot spring on the Kamchatka Penninsula		"3-, 8-, and 40-kbp libraries"				35	1	0	Yes	Natural			3733	16435	4/8/14	11/27/07												
hotsprings	0	Adina	Hot spring	none	none	Archaea	Crenarchaeota	Gp0002342	Sulfolobus islandicus Y.G.57.14	Sulfolobus islandicus Y.G.57.14	12231	Gc00997	Sulfolobus islandicus Y.G.57.14	19487	PRJNA19487	YG5714			An acidophile and thermophile isolated from a hot spring in Yellowstone National Park		"3-, 8-, and 40-kbp libraries"				35	1	0	Yes	Natural			3733	16439	4/8/14	11/27/07												
hotsprings	0	Adina	Hot spring	none	none	Archaea	Crenarchaeota	Gp0002343	Sulfolobus islandicus Y.N.15.51	Sulfolobus islandicus Y.N.15.51	12232	Gc00995	Sulfolobus islandicus Y.N.15.51	18651	PRJNA18651	YN1551			An acidophile and thermophile isolated from a hot spring in Yellowstone National Park		"3-, 8-, and 40-kbp libraries"				35	1	1	Yes	Natural			3733	16440	4/8/14	11/27/07												
		Adina	Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003522	Sulfolobus solfataricus 98/2	Sulfolobus solfataricus 98/2	13138	Gc01174	Sulfolobus solfataricus 98/2	30989	PRJNA30989	Ssol			Hot spring isolate						36	1	0	Yes	Natural			52400	97010	8/11/14	12/4/07												
from a deep-sea hydrothermal v	0	Adina	Hydrothermal vent-Marine-Marine	Aquatic	Marine	Archaea	Crenarchaeota	Gp0000767	Aeropyrum pernix K1		10664	Gc00022	Aeropyrum pernix K1	211	PRJNA211	APE			Aerobic hyperthermophilic archaeon		"0.8-1.2kb, 2-2.5kb"			pUC118	56	1	0	Yes	Natural					8/18/14	11/27/07												
		Adina	none	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0009311	Fervidicoccus fontis Kam940	Fervidicoccus fontis Kam940	1716	Gc02195	Fervidicoccus fontis Kam940	91117	PRJNA91117	FFONT			Fervidicoccus fontis Kam940 Genome sequencing						37	1	0	Yes	Natural					8/18/14	11/10/10												
		Adina	none	Aquatic	Marine	Archaea	Crenarchaeota	Gp0011818	Sulfolobus acidocaldarius N8		5444	Gc02497	Sulfolobus acidocaldarius N8	66533	PRJNA66533	SACN8			Sulfolobus acidocaldarius N8 genome sequencing						37			Yes	Natural					3/26/14	7/14/11												
		Adina	none	none	none	Archaea	Crenarchaeota	Gp0011864	Sulfolobus acidocaldarius Ron12/I		5445	Gc0005445	Sulfolobus acidocaldarius Ron12/I	66535	PRJNA66535	SACRON12I			Sulfolobus acidocaldarius Ron12/I genome sequencing						37	1		Yes	Natural					3/26/14	7/14/11												
hotsprings	0	Adina	none	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0072428	Sulfolobus acidocaldarius SUSAZ	Sulfolobus acidocaldarius SUSAZ	63358	Gc0063358	Sulfolobus acidocaldarius SUSAZ	231215	PRJNA231215	SUSAZ			Sulfolobus acidocaldarius strain SUSAZ was isolated from a mud sample collected next to a sulfuric hot spring at the Los Azufres geothermal field in Mexico.				176x		36	1	0	Yes	Natural					8/18/14	12/19/13												
hotsprings	1	Adina	none	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0033667	Sulfolobus islandicus LAL14/1		38422	Gc0038422	Sulfolobus islandicus LAL14/1	177222	PRJNA177222	SIL			Sulfolobus islandicus LAL14/1 was isolated from Iceland hot springs. It is a host for the rudivirus SIRV2. This strain will be used for comparative genome analysis with other Sulfolobus islandicus strains and genetics.						35	1	0	Yes	Natural					3/26/14	11/8/12												
		Adina	none	none	none	Archaea	Crenarchaeota	Gp0047860	Thermofilum sp. 1910b		57669	Gc0057669	Thermofilum sp. 1910b	212068	PRJNA212068	N186									47	1	0	Yes	Natural					8/18/14	10/11/13												
volcano	1	Adina	none	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0010358	Vulcanisaeta moutnovskia 768-28		1954	Gc01635	Vulcanisaeta moutnovskia 768-28	63027	PRJNA63027	VMUT			"A hyperthermophilic obligately anaerobic acidophile isolated from a hot spring in Kamchatka, Russia."						42	1	0	Yes	Natural					4/8/14	2/16/11												
		Adina	Antarctic-Aquatic-Fresh water	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0000367	Methanococcoides burtonii DSM 6242	Methanococcoides burtonii DSM 6242	10320	Gc00366	Methanococcoides burtonii DSM 6242	9634	PRJNA9634	Mbur			Psychrotolerant methanogenic archeon				19x		41	1	0	Yes	Natural			300084	16132	4/8/14	11/27/07												
Aquatic-Deep sea-Hot spring-Marine	0	Adina	Aquatic-Deep sea-Fresh water-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001902	Methanothermococcus okinawensis IH1	Methanothermococcus okinawensis IH1	11801	Gc01852	Methanothermococcus okinawensis IH1	43653	PRJNA43653	Metok			Methanothermococcus okinawensis IH1 genome sequencing				30x		29	1	1	Yes	Natural			100315	202776	4/21/14	11/27/07												
Aquatic-Deep sea-Hot spring-Marine	0	Adina	Aquatic-Deep sea-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001908	Methanocaldococcus sp. FS406-22	Methanocaldococcus sp. FS406-22	11807	Gc01212	Methanocaldococcus sp. FS406-22	37943	PRJNA37943	MFS40622			Methanocaldococcus sp. FS406-22 genome sequencing						32	1	1	Yes	Natural			100315	202782	4/8/14	11/27/07												
marine	0	Adina	Aquatic-Deep sea-Hot spring-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001905	Methanocaldococcus fervens AG86	Methanocaldococcus fervens AG86	11804	Gc01098	Methanocaldococcus fervens AG86	32615	PRJNA32615	Mefer			Hyperthermophilic methanogen						32	1	1	Yes	Natural			100315	202779	4/8/14	11/27/07												
marine	0	Adina	Aquatic-Deep sea-Hot spring-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001906	Methanocaldococcus infernus ME	Methanocaldococcus infernus ME	11805	Gc01344	Methanocaldococcus infernus ME	32611	PRJNA32611	Metin			Hyperthermophilic methanogen						34	1		Yes	Natural			100315	202780	3/26/14	11/27/07												
Aquatic-Deep sea-Hot spring-Marine	0	Adina	Aquatic-Deep sea-Hot spring-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001907	"Methanocaldococcus vulcanius M7, DSM 12094"	Methanocaldococcus vulcanius M7	11806	Gc01124	Methanocaldococcus vulcanius M7	33047	PRJNA33047	Metvu			Hydrothermal vent methanogen						32	1	2	Yes	Natural			100315	202781	4/8/14	11/27/07												
hydrothermal	0	Adina	Aquatic-Deep sea-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0003484	"Archaeoglobus profundus Av18, DSM 5631"	Archaeoglobus profundus DSM 5631	13489	Gc01188	Archaeoglobus profundus DSM 5631	32583	PRJNA32583	Arcpr			Hydrothermal vent isolate				"136x 454-Titanium, 30x Illumina GAii"		42	1	1	Yes	Natural	867		97601	98025	8/4/14	1/15/08												
hydrothermal	0	Adina	Aquatic-Deep sea-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0003485	"Archaeoglobus veneficus SNP6, DSM 11195"	Archaeoglobus veneficus DSM 11195	13490	Gc01707	Archaeoglobus veneficus SNP6	51621	PRJNA51621	Arcve			Archaeoglobus veneficus SNP6 genome sequencing						47	1	0	Yes	Natural	867		97601	98026	4/8/14	1/15/08												
		Adina	Aquatic-Fresh water	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0002309	Halorubrum lacusprofundi ATCC 49239	Halorubrum lacusprofundi ATCC 49239	12202	Gc00952	Halorubrum lacusprofundi ATCC 49239	18455	PRJNA18455	Hlac			Extremely halophilic archaeon isolated from the Antarctic						64	2	1	Yes	Natural			3466	16075	4/8/14	11/27/07												
		Adina	Aquatic-Fresh water	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0001918	Natrialba magadii ATCC 43099	Natrialba magadii ATCC 43099	11817	Gc01342	Natrialba magadii ATCC 43099	30691	PRJNA30691	Nmag			High pH and salt tolerant archaeon						61	1	3	Yes	Natural			100318	101186	5/20/14	11/27/07												
		Adina	Aquatic-Fresh water	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0000443	"Natronomonas pharaonis Gabara, DSM 2160"		10385	Gc00301	Natronomonas pharaonis DSM 2160	15742	PRJNA15742	NP			Extreme haloalkaliphilic archeon		2 kb		5.8x		63	1	2	Yes	Natural					8/18/14	11/27/07												
		Adina	Aquatic-Fresh water-Hot spring-Hydrothermal vent	Aquatic	Marine	Archaea	Euryarchaeota	Gp0002317	"Ferroglobus placidus AEDII12DO, DSM 10642"	Ferroglobus placidus DSM 10642	12209	Gc01209	Ferroglobus placidus DSM 10642	33635	PRJNA33635	Ferb			Iron-oxidizing hyperthermophilic archaeon				"245x illumina, 47x pyrosequencing"		44	1	0	Yes	Natural			52327	52348	4/8/14	11/27/07												
