Strain,Soil,Root,Rhizosphere,Sludge,Sand,mud,rhizome,sediment,nodule,Soil2,Root2,Rhizosphere2,Sludge2,Sand2,mud2,rhizome2,sediment2,nodule2,total_words,final
Actinobacillus_pleuropneumoniae_sv_3_JL03,1,0,0,0,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,117,0
Actinobacillus_pleuropneumoniae_sv_7_AP76,1,0,1,0,0,0,0,0,0,0.680272109,0,0.680272109,0,0,0,0,0,0,147,0
Actinobacillus_succinogenes_130Z,4,2,0,1,0,0,0,1,0,1.075268817,0.537634409,0,0.268817204,0,0,0,0.268817204,0,372,0
Actinobacillus_suis_ATCC_33415,2,1,0,0,0,0,0,0,0,1.19760479,0.598802395,0,0,0,0,0,0,0,167,0
Actinobacillus_suis_H91-0380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Actinobaculum_schaalii_CCUG_27420,5,5,0,0,0,0,0,0,0,1.347708895,1.347708895,0,0,0,0,0,0,0,371,0
Actinosynnema_mirum_101_DSM_43827,9,0,0,0,0,0,0,1,0,1.814516129,0,0,0,0,0,0,0.201612903,0,496,0
Adlercreutzia_equolifaciens_DSM_19450,4,1,0,2,0,0,0,0,0,1.515151515,0.378787879,0,0.757575758,0,0,0,0,0,264,0
Aequorivita_sublithincola_QSSC9-3_DSM_14238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Aerococcus_urinae_ACS-120-V-Col10a,1,1,0,1,1,1,0,0,0,0.492610837,0.492610837,0,0.492610837,0.492610837,0.492610837,0,0,0,203,0
Aeromonas_hydrophila_4AK4,5,2,0,1,1,0,0,0,0,1.204819277,0.481927711,0,0.240963855,0.240963855,0,0,0,0,415,0
Aeromonas_hydrophila_AL09-71,5,0,0,0,0,1,0,1,0,1.322751323,0,0,0,0,0.264550265,0,0.264550265,0,378,0
Aeromonas_hydrophila_hydrophila_ATCC_7966,4,0,0,0,2,2,0,1,0,0.945626478,0,0,0,0.472813239,0.472813239,0,0.236406619,0,423,0
Aeromonas_hydrophila_ML09-119,7,0,0,1,0,1,0,1,0,1.62037037,0,0,0.231481481,0,0.231481481,0,0.231481481,0,432,0
Aeromonas_hydrophila_pc104A,4,0,0,1,0,0,0,0,0,2.040816327,0,0,0.510204082,0,0,0,0,0,196,0
Aeromonas_hydrophila_YL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
Aeromonas_salmonicida_salmonicida_A449,2,0,0,0,0,1,0,3,0,0.468384075,0,0,0,0,0.234192037,0,0.702576112,0,427,0
Aeromonas_veronii_B565,0,0,1,1,0,0,0,8,0,0,0,0.27173913,0.27173913,0,0,0,2.173913043,0,368,0
Aeropyrum_camini_SY1_JCM_12091,0,3,0,0,0,0,0,0,0,0,2.23880597,0,0,0,0,0,0,0,134,0
Aeropyrum_pernix_K1,4,3,0,0,1,0,0,1,0,0.898876404,0.674157303,0,0,0.224719101,0,0,0.224719101,0,445,0
Aggregatibacter_actinomycetemcomitans_ANH9381,1,1,0,0,0,0,0,0,0,0.666666667,0.666666667,0,0,0,0,0,0,0,150,0
Aggregatibacter_actinomycetemcomitans_D11S-1,7,1,0,0,1,1,0,1,0,1.724137931,0.246305419,0,0,0.246305419,0.246305419,0,0.246305419,0,406,0
Aggregatibacter_actinomycetemcomitans_D7S-1,3,2,0,1,1,0,0,1,0,0.688073394,0.458715596,0,0.229357798,0.229357798,0,0,0.229357798,0,436,0
Aggregatibacter_actinomycetemcomitans_HK1651,4,3,0,0,0,0,0,2,0,0.81300813,0.609756098,0,0,0,0,0,0.406504065,0,492,0
Aggregatibacter_aphrophilus_NJ8700,5,3,0,0,1,0,0,1,0,1.373626374,0.824175824,0,0,0.274725275,0,0,0.274725275,0,364,0
Akkermansia_muciniphila_ATCC_BAA-835,9,2,0,0,0,0,0,1,0,2.059496568,0.457665904,0,0,0,0,0,0.228832952,0,437,0
Alcanivorax_borkumensis_SK2,2,1,0,0,0,2,0,5,0,0.515463918,0.257731959,0,0,0,0.515463918,0,1.288659794,0,388,0
Alcanivorax_dieselolei_B5,3,0,0,0,0,0,0,6,1,0.677200903,0,0,0,0,0,0,1.354401806,0.225733634,443,0
Alicyclobacillus_acidocaldarius_acidocaldarius_104-IA_DSM_446,7,2,0,0,0,0,0,0,0,1.351351351,0.386100386,0,0,0,0,0,0,0,518,0
Alicyclobacillus_acidocaldarius_acidocaldarius_Tc-4-1,4,3,0,0,1,1,0,1,0,0.733944954,0.550458716,0,0,0.183486239,0.183486239,0,0.183486239,0,545,0
Aliivibrio_salmonicida_LFI1238,4,2,1,0,0,0,0,3,1,0.956937799,0.4784689,0.23923445,0,0,0,0,0.717703349,0.23923445,418,0
Alistipes_finegoldii_AHN_2437_DSM_17242,0,1,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,42,0
Alkalilimnicola_ehrlichei_MLHE-1,8,2,1,0,0,0,0,1,0,1.927710843,0.481927711,0.240963855,0,0,0,0,0.240963855,0,415,0
Alkaliphilus_metalliredigens_QYMF,1,2,0,1,0,3,0,3,0,0.254452926,0.508905852,0,0.254452926,0,0.763358779,0,0.763358779,0,393,0
Alkaliphilus_oremlandii_OhILAs,5,1,2,0,0,1,0,2,0,1.351351351,0.27027027,0.540540541,0,0,0.27027027,0,0.540540541,0,370,0
Allochromatium_vinosum_DSM_180,4,0,0,0,3,3,0,2,0,0.943396226,0,0,0,0.70754717,0.70754717,0,0.471698113,0,424,0
alpha_proteobacterium_sp._HIMB5,1,1,0,0,0,0,0,3,0,0.304878049,0.304878049,0,0,0,0,0,0.914634146,0,328,0
alpha_proteobacterium_sp._HIMB59,4,3,0,0,0,0,0,2,0,0.838574423,0.628930818,0,0,0,0,0,0.419287212,0,477,0
Alteromonas_australica_H17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.785714286,0,112,0
Alteromonas_macleodii_'Aegean_Sea_MED64',0,1,0,1,0,0,0,0,0,0,1.219512195,0,1.219512195,0,0,0,0,0,82,0
Alteromonas_macleodii_AltDE1,3,1,0,1,1,0,0,2,0,0.71942446,0.239808153,0,0.239808153,0.239808153,0,0,0.479616307,0,417,0
Alteromonas_macleodii_ATCC_27126,0,1,1,1,0,1,0,6,0,0,0.228832952,0.228832952,0.228832952,0,0.228832952,0,1.372997712,0,437,0
Alteromonas_macleodii_Balearic_Sea_AD45,0,0,0,1,1,0,0,2,0,0,0,0,0.568181818,0.568181818,0,0,1.136363636,0,176,0
Alteromonas_macleodii_Black_Sea_11,2,1,0,1,1,0,0,6,0,0.366300366,0.183150183,0,0.183150183,0.183150183,0,0,1.098901099,0,546,0
Alteromonas_macleodii_Deep_ecotype_DSM_17117,2,2,0,0,1,0,0,3,0,0.67114094,0.67114094,0,0,0.33557047,0,0,1.006711409,0,298,0
Alteromonas_macleodii_'English_Channel_615',3,3,0,1,0,0,0,3,0,0.555555556,0.555555556,0,0.185185185,0,0,0,0.555555556,0,540,0
Alteromonas_macleodii_English_Channel_673,2,1,0,1,1,0,0,6,0,0.369685767,0.184842884,0,0.184842884,0.184842884,0,0,1.109057301,0,541,0
Alteromonas_macleodii_'Ionian_Sea_U4',0,1,0,1,0,0,0,0,0,0,0.699300699,0,0.699300699,0,0,0,0,0,143,0
Alteromonas_macleodii_'Ionian_Sea_U7',3,1,0,1,1,0,0,3,0,0.574712644,0.191570881,0,0.191570881,0.191570881,0,0,0.574712644,0,522,0
Alteromonas_macleodii_'Ionian_Sea_U8',1,1,0,1,0,0,0,0,0,0.628930818,0.628930818,0,0.628930818,0,0,0,0,0,159,0
Alteromonas_macleodii_'Ionian_Sea_UM4b',0,1,0,1,0,0,0,0,0,0,1.176470588,0,1.176470588,0,0,0,0,0,85,0
Alteromonas_macleodii_'Ionian_Sea_UM7',0,1,0,1,1,1,0,3,0,0,0.248138958,0,0.248138958,0.248138958,0.248138958,0,0.744416873,0,403,0
Alteromonas_taeanensis_SN2,2,0,0,0,4,0,0,6,0,0.606060606,0,0,0,1.212121212,0,0,1.818181818,0,330,0
Aminobacterium_colombiense_ALA-1_DSM_12261,2,1,0,7,1,0,0,0,0,0.410677618,0.205338809,0,1.437371663,0.205338809,0,0,0,0,487,0
Ammonifex_degensii_KC4,3,1,0,1,0,1,0,5,0,0.688073394,0.229357798,0,0.229357798,0,0.229357798,0,1.146788991,0,436,0
Amycolatopsis_orientalis_HCCB10007,2,2,1,2,2,0,0,0,0,0.539083558,0.539083558,0.269541779,0.539083558,0.539083558,0,0,0,0,371,0
Anabaena_cylindrica_PCC_7122,7,2,0,0,0,1,0,0,0,1.601830664,0.457665904,0,0,0,0.228832952,0,0,0,437,0
Anabaena_sp._90,8,1,0,0,0,0,0,3,0,1.826484018,0.228310502,0,0,0,0,0,0.684931507,0,438,0
Anaerobaculum_mobile_NGA_DSM_13181,1,0,0,1,0,0,0,0,0,0.900900901,0,0,0.900900901,0,0,0,0,0,111,0
Anaerococcus_prevotii_PC_1_DSM_20548,4,3,0,1,0,1,0,1,0,0.804828974,0.60362173,0,0.201207243,0,0.201207243,0,0.201207243,0,497,0
Anaerolinea_thermophila_UNI-1,2,0,0,7,0,1,0,2,0,0.508905852,0,0,1.781170483,0,0.254452926,0,0.508905852,0,393,0
Anaplasma_centrale_Israel,5,4,0,0,0,0,0,0,1,1.199040767,0.959232614,0,0,0,0,0,0,0.239808153,417,0
Anaplasma_marginale_Dawn,8,0,0,0,0,0,0,1,0,1.847575058,0,0,0,0,0,0,0.230946882,0,433,0
Anaplasma_marginale_Florida,4,1,0,0,1,0,0,2,0,0.826446281,0.20661157,0,0,0.20661157,0,0,0.41322314,0,484,0
Anaplasma_marginale_St_Maries,2,1,0,0,3,0,0,1,1,0.458715596,0.229357798,0,0,0.688073394,0,0,0.229357798,0.229357798,436,0
Anaplasma_phagocytophilum_Dog2,1,0,0,1,4,0,0,0,1,0.249376559,0,0,0.249376559,0.997506234,0,0,0,0.249376559,401,0
Anaplasma_phagocytophilum_HZ,0,5,0,0,2,0,0,0,3,0,1.295336788,0,0,0.518134715,0,0,0,0.777202073,386,0
Anaplasma_phagocytophilum_HZ2,0,1,0,0,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,37,0
Anaplasma_phagocytophilum_JM,0,0,0,1,8,0,0,0,0,0,0,0,0.234192037,1.8735363,0,0,0,0,427,0
Anoxybacillus_flavithermus_WK1_DSM_2641,0,0,0,1,0,0,0,1,0,0,0,0,1.063829787,0,0,0,1.063829787,0,94,0
Aquifex_aeolicus_VF5,2,6,0,0,0,0,0,0,0,0.468384075,1.405152225,0,0,0,0,0,0,0,427,0
Arcanobacterium_haemolyticum_CCM_DSM_20595,6,1,0,0,0,0,0,1,0,1.45631068,0.242718447,0,0,0,0,0,0.242718447,0,412,0
Archaeoglobus_fulgidus_DSM_8774,0,0,0,1,1,0,0,0,0,0,0,0,0.787401575,0.787401575,0,0,0,0,127,0
Archaeoglobus_fulgidus_VC-16_DSM_4304,5,2,0,1,1,1,0,1,1,0.932835821,0.373134328,0,0.186567164,0.186567164,0.186567164,0,0.186567164,0.186567164,536,0
Archaeoglobus_profundus_Av18_DSM_5631,0,1,1,0,0,1,0,5,0,0,0.302114804,0.302114804,0,0,0.302114804,0,1.510574018,0,331,0
Archaeoglobus_sulfaticallidus_PM70-1_DSM_19444,1,0,0,1,0,0,0,2,0,0.534759358,0,0,0.534759358,0,0,0,1.069518717,0,187,0
Archaeoglobus_veneficus_SNP6_DSM_11195,0,0,1,0,1,0,0,5,0,0,0,0.432900433,0,0.432900433,0,0,2.164502165,0,231,0
Arcobacter_butzleri_7h1h,3,0,0,3,0,0,0,2,0,0.882352941,0,0,0.882352941,0,0,0,0.588235294,0,340,0
Arcobacter_butzleri_ED-1,1,0,0,0,0,0,1,5,0,0.225733634,0,0,0,0,0,0.225733634,1.128668172,0,443,0
Arcobacter_butzleri_RM4018,1,2,0,1,0,0,1,5,0,0.222717149,0.445434298,0,0.222717149,0,0,0.222717149,1.113585746,0,449,0
Arcobacter_sp._L,2,0,0,3,0,0,0,5,0,0.415800416,0,0,0.623700624,0,0,0,1.03950104,0,481,0
Arthrobacter_arilaitensis_re117_CIP_108037,3,0,0,0,0,0,0,2,0,1.310043668,0,0,0,0,0,0,0.873362445,0,229,0
Arthrobacter_nitroguajacolicus_Rue61a,7,0,0,4,0,0,0,0,0,1.535087719,0,0,0.877192982,0,0,0,0,0,456,0
Arthrospira_platensis_NIES-39,3,1,0,1,2,0,0,1,0,0.78125,0.260416667,0,0.260416667,0.520833333,0,0,0.260416667,0,384,0
Ashbya_gossypii_FDAG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
Atopobium_parvulum_IPP_1246_DSM_20469,1,0,0,0,0,0,0,1,0,1.612903226,0,0,0,0,0,0,1.612903226,0,62,0
Bacillus_cereus_FT9,6,3,0,0,0,0,0,1,1,1.255230126,0.627615063,0,0,0,0,0,0.209205021,0.209205021,478,0
Bacillus_infantis_NRRL_B-14911,3,0,1,0,0,0,0,2,0,0.8,0,0.266666667,0,0,0,0,0.533333333,0,375,0
Bacillus_selenitireducens_MLS10,4,1,0,0,0,3,0,3,0,0.917431193,0.229357798,0,0,0,0.688073394,0,0.688073394,0,436,0
Bacillus_subtilis_BEST7003,6,2,0,0,1,0,0,2,0,1.360544218,0.453514739,0,0,0.22675737,0,0,0.453514739,0,441,0
Bacillus_subtilis_BEST7613,7,1,0,0,2,1,0,1,0,1.674641148,0.23923445,0,0,0.4784689,0.23923445,0,0.23923445,0,418,0
Bacillus_subtilis_PY79,11,0,0,0,0,0,0,0,0,2.669902913,0,0,0,0,0,0,0,0,412,0
Bacillus_subtilis_QB928,6,1,1,0,1,0,0,2,0,1.307189542,0.217864924,0.217864924,0,0.217864924,0,0,0.435729847,0,459,0
Bacillus_subtilis_subtilis_BSP1,9,0,1,0,0,0,0,0,0,1.807228916,0,0.200803213,0,0,0,0,0,0,498,0
Bacillus_thuringiensis_Al_Hakam,9,0,1,0,0,1,0,0,0,1.863354037,0,0.207039337,0,0,0.207039337,0,0,0,483,0
Bacteroides_fragilis_NCTC_9343,4,3,0,0,1,0,0,0,0,0.938967136,0.704225352,0,0,0.234741784,0,0,0,0,426,0
Bacteroides_helcogenes_P_36-108_DSM_20613,0,0,0,2,0,0,0,0,0,0,0,0,2.02020202,0,0,0,0,0,99,0
Bartonella_henselae_Houston-1,1,1,0,0,10,0,0,0,2,0.21691974,0.21691974,0,0,2.169197397,0,0,0,0.433839479,461,0
Bartonella_tribocorum_CIP_105476,4,4,0,0,2,0,0,1,5,0.992555831,0.992555831,0,0,0.496277916,0,0,0.248138958,1.240694789,403,0
Baumannia_cicadellinicola_Hc,5,2,0,0,1,1,0,1,1,1.219512195,0.487804878,0,0,0.243902439,0.243902439,0,0.243902439,0.243902439,410,0
Belliella_baltica_BA134_DSM_15883,1,0,0,0,0,0,0,1,0,0.641025641,0,0,0,0,0,0,0.641025641,0,156,0
Bifidobacterium_adolescentis_22L,5,2,0,0,0,0,0,2,0,1.152073733,0.460829493,0,0,0,0,0,0.460829493,0,434,0
Bifidobacterium_adolescentis_ATCC_15703,4,3,0,0,0,0,0,1,0,1.023017903,0.767263427,0,0,0,0,0,0.255754476,0,391,0
Bifidobacterium_animalis_animalis_ATCC_25527,4,0,0,0,2,0,0,0,0,1.007556675,0,0,0,0.503778338,0,0,0,0,397,0
Bifidobacterium_animalis_lactis_AD011,6,0,0,0,0,0,0,2,0,1.550387597,0,0,0,0,0,0,0.516795866,0,387,0
Bifidobacterium_animalis_lactis_ATCC_27673,6,1,0,0,0,0,0,0,0,1.474201474,0.245700246,0,0,0,0,0,0,0,407,0
Bifidobacterium_animalis_lactis_B420,0,7,0,0,1,0,0,1,0,0,1.794871795,0,0,0.256410256,0,0,0.256410256,0,390,0
Bifidobacterium_animalis_lactis_BB-12,2,3,0,0,1,0,0,0,0,0.4784689,0.717703349,0,0,0.23923445,0,0,0,0,418,0
Bifidobacterium_animalis_lactis_Bi-07,2,4,0,0,0,0,0,1,0,0.537634409,1.075268817,0,0,0,0,0,0.268817204,0,372,0
Bifidobacterium_animalis_lactis_Bl-04_ATCC_SD5219,3,0,0,0,0,0,0,0,0,2.189781022,0,0,0,0,0,0,0,0,137,0
Bifidobacterium_animalis_lactis_Bl12,1,1,0,0,0,0,0,0,0,0.909090909,0.909090909,0,0,0,0,0,0,0,110,0
Bifidobacterium_animalis_lactis_BLC1,3,1,0,0,2,1,0,2,0,0.759493671,0.253164557,0,0,0.506329114,0.253164557,0,0.506329114,0,395,0
Bifidobacterium_animalis_lactis_CNCM_I-2494,1,2,0,0,1,0,0,5,0,0.267379679,0.534759358,0,0,0.267379679,0,0,1.336898396,0,374,0
Bifidobacterium_animalis_lactis_DSM_10140,4,0,0,0,0,0,0,0,0,1.025641026,0,0,0,0,0,0,0,0,390,0
Bifidobacterium_animalis_lactis_V9,3,3,1,0,0,0,0,1,0,0.680272109,0.680272109,0.22675737,0,0,0,0,0.22675737,0,441,0
Bifidobacterium_animalis_RH,1,5,0,0,1,0,0,1,0,0.189035917,0.945179584,0,0,0.189035917,0,0,0.189035917,0,529,0
Bifidobacterium_asteroides_PRL2011,6,2,0,0,0,1,1,0,0,1.485148515,0.495049505,0,0,0,0.247524752,0.247524752,0,0,404,0
Bifidobacterium_bifidum_BGN4,0,4,0,1,0,0,0,3,1,0,1.075268817,0,0.268817204,0,0,0,0.806451613,0.268817204,372,0
Bifidobacterium_bifidum_PRL2010,5,1,0,0,0,1,0,1,0,1.262626263,0.252525253,0,0,0,0.252525253,0,0.252525253,0,396,0
Bifidobacterium_bifidum_S17,2,3,1,0,0,1,0,1,1,0.536193029,0.804289544,0.268096515,0,0,0.268096515,0,0.268096515,0.268096515,373,0
Bifidobacterium_breve_12L,6,6,0,0,0,0,0,0,0,1.428571429,1.428571429,0,0,0,0,0,0,0,420,0
Bifidobacterium_breve_689b,2,3,0,1,2,0,0,0,0,0.502512563,0.753768844,0,0.251256281,0.502512563,0,0,0,0,398,0
Bifidobacterium_breve_ACS-071-V-Sch8b,4,4,0,0,0,0,0,0,0,1.101928375,1.101928375,0,0,0,0,0,0,0,363,0
Bifidobacterium_breve_JCM_7017,1,1,0,0,0,0,0,0,0,1.388888889,1.388888889,0,0,0,0,0,0,0,72,0
Bifidobacterium_breve_JCM_7019,3,1,0,0,0,0,0,0,0,1.408450704,0.469483568,0,0,0,0,0,0,0,213,0
Bifidobacterium_breve_NCFB_2258,4,1,0,1,0,0,0,1,0,0.995024876,0.248756219,0,0.248756219,0,0,0,0.248756219,0,402,0
Bifidobacterium_breve_S27,4,2,0,0,1,0,0,1,0,1.012658228,0.506329114,0,0,0.253164557,0,0,0.253164557,0,395,0
Bifidobacterium_breve_UCC2003_(NCIMB8807),1,2,0,0,1,0,0,0,0,0.343642612,0.687285223,0,0,0.343642612,0,0,0,0,291,0
Bifidobacterium_coryneforme_LMG_18911,1,0,0,0,0,0,0,0,0,1.086956522,0,0,0,0,0,0,0,0,92,0
Bifidobacterium_dentium_Bd1,4,3,0,0,0,0,0,0,0,1.049868766,0.787401575,0,0,0,0,0,0,0,381,0
Bifidobacterium_longum_BXY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Bifidobacterium_longum_DJO10A,8,0,0,0,0,0,0,1,0,2.209944751,0,0,0,0,0,0,0.276243094,0,362,0
Bifidobacterium_longum_infantis_157F-NC,2,0,0,1,0,0,0,0,0,1.5625,0,0,0.78125,0,0,0,0,0,128,0
Bifidobacterium_longum_infantis_ATCC_15697,1,1,1,1,1,0,0,2,0,0.265957447,0.265957447,0.265957447,0.265957447,0.265957447,0,0,0.531914894,0,376,0
Bifidobacterium_longum_infantis_JCM_1222,2,2,0,1,1,1,0,2,0,0.461893764,0.461893764,0,0.230946882,0.230946882,0.230946882,0,0.461893764,0,433,0
Bifidobacterium_longum_longum_BBMN68,2,2,1,0,0,0,0,1,0,0.573065903,0.573065903,0.286532951,0,0,0,0,0.286532951,0,349,0
Bifidobacterium_longum_longum_F8,4,4,0,0,0,0,0,0,0,1.005025126,1.005025126,0,0,0,0,0,0,0,398,0
Bifidobacterium_longum_longum_JCM_1217,2,4,0,2,0,1,0,1,0,0.481927711,0.963855422,0,0.481927711,0,0.240963855,0,0.240963855,0,415,0
Bifidobacterium_longum_longum_JDM301,7,1,0,0,0,0,0,2,0,1.80878553,0.258397933,0,0,0,0,0,0.516795866,0,387,0
Bifidobacterium_longum_longum_KACC_91563,2,3,0,0,0,0,0,2,0,0.510204082,0.765306122,0,0,0,0,0,0.510204082,0,392,0
Bifidobacterium_longum_NCC2705,5,4,0,0,0,0,0,0,0,1.162790698,0.930232558,0,0,0,0,0,0,0,430,0
Bifidobacterium_thermophilum_RBL67,7,0,0,1,0,0,0,1,0,2.102102102,0,0,0.3003003,0,0,0,0.3003003,0,333,0
